symbol,side,exit_reason,post_reached_original_tp,post_minutes_to_original_tp,post_max_favorable_pips_after,post_moved_original_direction,post_plus_0_5r,post_plus_1r,post_plus_2r,post_5m_pips,post_15m_pips,post_30m_pips,post_60m_pips
EUR_USD,SELL,sl,True,345.0,516.1,True,True,True,True,-5.3,-7.7,-9.4,-11.4
EUR_USD,SELL,sl,True,305.0,520.4,True,True,True,True,-4.8,-3.5,-10.6,-6.8
EUR_USD,SELL,sl,True,265.0,524.2,True,True,True,True,-6.4,-3.2,-1.9,-1.0
EUR_USD,BUY,sl,True,195.0,226.9,True,True,True,True,-5.5,-10.1,-5.1,-10.4
EUR_USD,BUY,sl,True,189860.0,171.1,True,True,True,True,-10.2,-23.2,-61.6,-78.2
EUR_USD,BUY,sl,True,189750.0,180.3,True,True,True,True,-38.8,-54.5,-53.5,-65.0
EUR_USD,BUY,sl,True,189685.0,218.1,True,True,True,True,-43.6,-15.7,-21.2,-42.2
EUR_USD,SELL,sl,True,350.0,486.6,True,True,True,True,-26.5,-20.4,-15.0,-19.6
EUR_USD,BUY,sl,True,186595.0,244.4,True,True,True,True,-12.5,-15.7,-11.9,-7.5
EUR_USD,BUY,sl,True,186330.0,255.9,True,True,True,True,-18.8,-19.4,-36.3,-54.4
EUR_USD,SELL,sl,True,9995.0,425.4,True,True,True,True,-22.0,-25.0,-26.4,-25.5
EUR_USD,SELL,sl,True,1160.0,446.4,True,True,True,True,-19.0,-16.8,-21.8,-16.0
EUR_USD,SELL,sl,True,205.0,429.4,True,True,True,True,-10.1,-14.0,-9.8,-8.6
EUR_USD,SELL,sl,True,8600.0,416.0,True,True,True,True,-11.6,-10.2,-13.2,-17.7
EUR_USD,SELL,sl,True,8565.0,422.0,True,True,True,True,-13.7,-14.1,-12.0,-12.2
EUR_USD,BUY,sl,True,4020.0,323.9,True,True,True,True,-16.0,-19.8,-10.0,-17.0
EUR_USD,BUY,sl,True,495.0,338.9,True,True,True,True,-12.8,-11.6,-10.3,-9.4
EUR_USD,SELL,sl,True,5060.0,405.8,True,True,True,True,-2.2,-7.0,-2.6,-7.6
EUR_USD,SELL,sl,True,5045.0,407.0,True,True,True,True,-2.3,-1.4,-3.0,-4.5
EUR_USD,SELL,sl,True,5010.0,408.3,True,True,True,True,-5.9,-7.7,-3.9,0.9
EUR_USD,SELL,sl,True,4685.0,413.2,True,True,True,True,-3.6,-8.2,-5.8,-16.3
EUR_USD,BUY,sl,True,200.0,307.9,True,True,True,True,-10.2,-10.0,-4.4,-4.7
EUR_USD,BUY,sl,True,40.0,275.4,True,True,True,True,-1.7,-1.5,0.5,7.3
EUR_USD,BUY,sl,True,176835.0,263.3,True,True,True,True,-4.8,-7.6,-12.5,-16.0
EUR_USD,BUY,sl,True,176775.0,267.1,True,True,True,True,-8.6,-11.2,-11.8,-16.8
EUR_USD,BUY,sl,True,870.0,277.3,True,True,True,True,-6.6,-2.6,-4.0,-1.5
EUR_USD,BUY,sl,True,200.0,282.9,True,True,True,True,-3.2,-6.9,-8.9,-11.3
EUR_USD,SELL,sl,True,25.0,471.4,True,True,True,True,-3.3,7.1,10.2,5.2
EUR_USD,SELL,sl,True,1520.0,458.2,True,True,True,True,-11.8,-8.0,-7.0,-11.4
EUR_USD,SELL,sl,True,1450.0,465.0,True,True,True,True,-12.8,-13.2,-15.8,-13.6
EUR_USD,BUY,sl,True,176320.0,278.5,True,True,True,True,-9.4,-12.6,-8.6,-11.2
EUR_USD,BUY,sl,True,315.0,286.9,True,True,True,True,-6.8,-5.2,1.4,1.0
EUR_USD,SELL,sl,True,1180.0,463.8,True,True,True,True,-9.2,-15.4,-10.0,0.6
EUR_USD,SELL,sl,True,920.0,473.9,True,True,True,True,-6.5,-10.0,-8.7,-15.7
EUR_USD,BUY,sl,True,175315.0,277.1,True,True,True,True,-7.3,-8.7,-6.6,-7.4
EUR_USD,SELL,sl,True,155.0,473.1,True,True,True,True,-1.2,-2.9,-4.3,-2.7
EUR_USD,SELL,sl,True,85.0,475.2,True,True,True,True,-2.2,-2.6,2.6,-2.9
EUR_USD,SELL,sl,True,35.0,472.4,True,True,True,True,-2.4,1.6,8.8,6.4
EUR_USD,SELL,sl,True,1365.0,405.8,True,True,True,True,-8.8,-6.8,-2.2,-13.8
EUR_USD,SELL,sl,True,695.0,411.6,True,True,True,True,-12.3,-8.9,-7.4,-8.3
EUR_USD,BUY,sl,True,7645.0,335.3,True,True,True,True,-2.8,-2.4,-5.4,-1.2
EUR_USD,BUY,sl,True,7615.0,337.1,True,True,True,True,-1.4,-2.0,0.6,5.4
EUR_USD,BUY,sl,True,7360.0,337.5,True,True,True,True,-5.8,4.4,5.8,1.0
EUR_USD,SELL,sl,True,90.0,416.8,True,True,True,True,-4.8,-10.0,-5.8,-5.3
EUR_USD,SELL,sl,True,75.0,420.6,True,True,True,True,-1.4,-2.0,-1.4,2.8
EUR_USD,SELL,sl,True,260.0,407.8,True,True,True,True,-8.9,-4.8,-4.0,-15.9
EUR_USD,SELL,sl,True,205.0,415.7,True,True,True,True,-8.0,-3.5,-0.5,-7.7
EUR_USD,SELL,sl,True,105.0,420.0,True,True,True,True,-6.2,0.4,1.6,7.2
EUR_USD,BUY,sl,True,8280.0,331.3,True,True,True,True,-8.7,-8.8,-9.2,-9.1
EUR_USD,BUY,sl,True,6990.0,342.1,True,True,True,True,-6.4,-5.4,-39.2,-36.5
EUR_USD,SELL,sl,True,17585.0,330.2,True,True,True,True,-10.8,-12.6,-10.2,-8.0
EUR_USD,SELL,sl,True,14825.0,342.6,True,True,True,True,-4.2,-5.1,-5.8,-2.8
EUR_USD,BUY,sl,True,150.0,410.7,True,True,True,True,-5.4,-2.4,0.7,6.4
EUR_USD,BUY,sl,True,380.0,403.3,True,True,True,True,-7.0,0.0,-2.8,-6.1
EUR_USD,BUY,sl,True,335.0,398.3,True,True,True,True,-8.0,-5.6,-1.6,-5.0
EUR_USD,BUY,sl,True,225.0,403.6,True,True,True,True,-7.3,-10.3,-17.3,-11.5
EUR_USD,SELL,sl,True,14175.0,343.6,True,True,True,True,0.4,-4.0,-9.1,-8.3
EUR_USD,SELL,sl,True,14170.0,342.2,True,True,True,True,-5.4,-12.0,-7.3,-23.1
EUR_USD,SELL,sl,True,14130.0,349.0,True,True,True,True,0.0,-8.4,-16.3,-10.1
EUR_USD,SELL,sl,True,14100.0,352.2,True,True,True,True,-15.6,-8.6,-6.9,-12.4
EUR_USD,BUY,sl,True,3530.0,389.7,True,True,True,True,-13.0,-8.2,-11.5,-4.7
EUR_USD,BUY,sl,True,60.0,364.3,True,True,True,True,-3.8,-2.8,5.8,7.8
EUR_USD,BUY,sl,True,520.0,354.1,True,True,True,True,-3.5,-2.6,-0.6,3.4
