experiment,baseline_n,retained_n,removed_n,baseline_expectancy_r,filtered_expectancy_r,baseline_profit_factor,filtered_profit_factor,baseline_win_rate,filtered_win_rate,baseline_avg_r,filtered_avg_r,baseline_max_dd_r,filtered_max_dd_r,sample_size,split,filter
adx_filter:valid,4672,3155,1517,-0.17037671123386086,-0.1765451656408581,0.7644970428023824,0.7566622989649041,0.276541095890411,0.2744849445324881,-0.17037671123386086,-0.1765451656408581,828.9999949023376,574.9999976894172,3155,valid,adx_filter
adx_filter:test,4673,3066,1607,-0.21432160625936153,-0.2042390374198304,0.7094049049211733,0.7217473693990554,0.2621442328268778,0.2654924983692107,-0.21432160625936153,-0.2042390374198304,1005.2937840797016,628.9999960215846,3066,test,adx_filter
volatility_filter:train,9344,5242,4102,-0.2066566781467633,-0.24112933984020818,0.7190455404971253,0.6772216549290682,0.2644477739726027,0.2529568866844716,-0.2066566781467633,-0.24112933984020818,1943.000000637176,1279.9999994761868,5242,train,volatility_filter
volatility_filter:valid,4672,2605,2067,-0.17037671123386086,-0.19961612164978032,0.7644970428023824,0.7277486925811815,0.276541095890411,0.2667946257197697,-0.17037671123386086,-0.19961612164978032,828.9999949023376,539.9999968683117,2605,valid,volatility_filter
volatility_filter:test,4673,2614,2059,-0.21432160625936153,-0.27779590563566203,0.7094049049211733,0.6340219300895078,0.2621442328268778,0.2406273909716909,-0.21432160625936153,-0.27779590563566203,1005.2937840797016,728.9999959605321,2614,test,volatility_filter
spread_atr_filter:train,9344,2984,6360,-0.2066566781467633,-0.10924932991977013,0.7190455404971253,0.8446139178244054,0.2644477739726027,0.29691689008042893,-0.2066566781467633,-0.10924932991977013,1943.000000637176,341.0000004597012,2984,train,spread_atr_filter
spread_atr_filter:valid,4672,1811,2861,-0.17037671123386086,-0.12368856980428018,0.7644970428023824,0.8252730109735518,0.276541095890411,0.2921038100496963,-0.17037671123386086,-0.12368856980428018,828.9999949023376,253.99999995498382,1811,valid,spread_atr_filter
spread_atr_filter:test,4673,761,3912,-0.21432160625936153,-0.07144069351099201,0.7094049049211733,0.8961092395750815,0.2621442328268778,0.3114323258869908,-0.21432160625936153,-0.07144069351099201,1005.2937840797016,60.99999987526897,761,test,spread_atr_filter
session_london_or_overlap:train,9344,5132,4212,-0.2066566781467633,-0.19329695951544631,0.7190455404971253,0.7356076767269666,0.2644477739726027,0.26890101325019483,-0.2066566781467633,-0.19329695951544631,1943.000000637176,1004.9999963580922,5132,train,session_london_or_overlap
session_london_or_overlap:valid,4672,2519,2153,-0.17037671123386086,-0.1282254856497156,0.7644970428023824,0.8192501407844236,0.276541095890411,0.2905915045653037,-0.17037671123386086,-0.1282254856497156,828.9999949023376,343.99999826910187,2519,valid,session_london_or_overlap
session_london_or_overlap:test,4673,2513,2160,-0.21432160625936153,-0.15812129659571286,0.7094049049211733,0.7801002668458473,0.2621442328268778,0.2809391165937127,-0.21432160625936153,-0.15812129659571286,1005.2937840797016,413.28623774135633,2513,test,session_london_or_overlap
entry_extension_filter:train,9344,5223,4121,-0.2066566781467633,-0.21252153960354925,0.7190455404971253,0.7118380061624372,0.2644477739726027,0.26249282021826537,-0.2066566781467633,-0.21252153960354925,1943.000000637176,1138.0000010565052,5223,train,entry_extension_filter
entry_extension_filter:valid,4672,2573,2099,-0.17037671123386086,-0.1511853848330751,0.7644970428023824,0.7891598938463801,0.276541095890411,0.28293820443062573,-0.17037671123386086,-0.1511853848330751,828.9999949023376,414.99999521531345,2573,valid,entry_extension_filter
entry_extension_filter:test,4673,2722,1951,-0.21432160625936153,-0.20610123093199992,0.7094049049211733,0.71953874269423,0.2621442328268778,0.2648787656135195,-0.21432160625936153,-0.20610123093199992,1005.2937840797016,563.007550666738,2722,test,entry_extension_filter
