client_order_id,symbol,side,units,status,created_at,filled_at,fill_price,broker_order_id,filled_units,metadata
cid-e74d1201ae17476bbc9c9de41022fa01,EUR_USD,SELL,2,FILLED,2026-09-21 20:02:14.276603+00,2026-09-21 20:02:14.394158+00,1.14641,2373,2,"{""mid"": 1.14644, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.14644, ""slippage_signed"": 0.00002999999999997449}"
cid-429aa4075ea743be9a16f6b9d86d7050,AUD_USD,SELL,3,FILLED,2026-09-21 20:04:16.717597+00,2026-09-21 20:04:16.836397+00,0.71179,2377,3,"{""mid"": 0.71192, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 0.71192, ""slippage_signed"": 0.00012999999999996348}"
cid-794f1bb92d0343ea84cbf07ba810b6f9,USD_JPY,SELL,2,FILLED,2026-09-21 21:05:15.437617+00,2026-09-21 21:05:15.567569+00,157.272,2390,2,"{""mid"": 157.318, ""strategy"": ""swing_breakout"", ""expected_mid"": 157.318, ""slippage_signed"": 0.04600000000002069}"
cid-3f73a47a2983437bb2915731c773e912,USD_CAD,BUY,2,CANCELLED,2026-09-21 21:05:15.839444+00,,,,,"{""mid"": 1.40323, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-7440835d6e9348529e82bd49e2b1276b,USD_CAD,BUY,2,CANCELLED,2026-09-21 21:07:17.902741+00,,,,,"{""mid"": 1.40323, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-50111f06fd56401dbf9951827acabd08,USD_CHF,SELL,2,CANCELLED,2026-09-21 21:07:18.151926+00,,,,,"{""mid"": 0.82179, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-72a3ea00ed2c4ee3be587d96411a6aec,EUR_USD,SELL,2,FILLED,2026-09-21 21:08:18.606754+00,2026-09-21 21:08:18.724836+00,1.14664,2400,2,"{""mid"": 1.14686, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.14686, ""slippage_signed"": 0.00021999999999988695}"
cid-efbb4c508868488aa80e0183110045e6,AUD_USD,SELL,3,CANCELLED,2026-09-21 21:08:19.0992+00,,,,,"{""mid"": 0.71186, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-56d4925211f947d686bfec06c8cee544,GBP_USD,SELL,1,CANCELLED,2026-09-21 21:09:19.932448+00,,,,,"{""mid"": 1.33654, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-65d8a119f1374a76aa8051a3f35d43b8,USD_CAD,BUY,2,CANCELLED,2026-09-21 21:09:20.438642+00,,,,,"{""mid"": 1.40323, ""reason"": ""execution_failed"", ""strategy"": ""swing_mean_reversion""}"
cid-99085b0477f24242977ca96fc97a7bc0,USD_CHF,SELL,2,CANCELLED,2026-09-21 21:09:20.685622+00,,,,,"{""mid"": 0.82179, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-f5f47d78fc56426c928cb81bcb64c86b,AUD_USD,SELL,3,CANCELLED,2026-09-21 21:11:22.558453+00,,,,,"{""mid"": 0.71202, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-514d875a8bfe4066b47235703f0e7a48,USD_CHF,SELL,2,CANCELLED,2026-09-21 21:12:23.906883+00,,,,,"{""mid"": 0.82147, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-d089ed2f8de84c41b1b17f999211ab9c,USD_CHF,SELL,2,CANCELLED,2026-09-21 21:13:24.980475+00,,,,,"{""mid"": 0.82147, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-45930c33d5644351921728bd453344ff,EUR_USD,SELL,2,FILLED,2026-09-21 21:14:25.440715+00,2026-09-21 21:14:25.56752+00,1.1466,2420,2,"{""mid"": 1.1467, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.1467, ""slippage_signed"": 0.00009999999999998899}"
cid-71b75ffa6293433587e8198ca939f9aa,GBP_USD,SELL,1,CANCELLED,2026-09-21 21:20:31.501119+00,,,,,"{""mid"": 1.33694, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-bdc271624b4c488ebae0455fcb779fcf,USD_JPY,SELL,2,FILLED,2026-09-21 21:21:32.810281+00,2026-09-21 21:21:32.974417+00,157.298,2430,2,"{""mid"": 157.326, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 157.326, ""slippage_signed"": 0.027999999999991587}"
cid-f0f224d33ab845648631ba96eef43f4a,AUD_USD,SELL,3,FILLED,2026-09-21 21:21:33.108361+00,2026-09-21 21:21:33.229492+00,0.71176,2434,3,"{""mid"": 0.71198, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71198, ""slippage_signed"": 0.00021999999999999797}"
cid-5dbb8d78eaad4df291625bcbc075f77a,USD_JPY,SELL,2,FILLED,2026-09-21 21:23:35.051677+00,2026-09-21 21:23:35.169703+00,157.313,2442,2,"{""mid"": 157.326, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 157.326, ""slippage_signed"": 0.01300000000000523}"
cid-f2520ee376e44710a92862c50336fff2,GBP_USD,SELL,1,FILLED,2026-09-21 21:24:36.038578+00,2026-09-21 21:24:36.164265+00,1.33636,2448,1,"{""mid"": 1.33694, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.33694, ""slippage_signed"": 0.0005800000000000249}"
cid-ac13097c3cce46f08ebb7f404bb9b8bb,USD_JPY,SELL,2,FILLED,2026-09-21 21:27:39.294173+00,2026-09-21 21:27:39.414946+00,157.336,2454,2,"{""mid"": 157.364, ""strategy"": ""swing_trend"", ""expected_mid"": 157.364, ""slippage_signed"": 0.027999999999991587}"
cid-9bbf859563604add8adc04bb4bf697b8,EUR_USD,SELL,2,FILLED,2026-09-21 21:32:44.242966+00,2026-09-21 21:32:44.358579+00,1.14642,2458,2,"{""mid"": 1.14652, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 1.14652, ""slippage_signed"": 0.00009999999999998899}"
