bot-1  | [INFO] 2026-09-22 20:26:26.540724: [EXECUTION] BROKER_FILL USD_CHF open fill=0.82076 unitsΓëê2.0000 id=3094 cid=cid-0f551537a56e44f6910b055542efaa77
bot-1  | [INFO] 2026-09-22 20:26:26.542133: [OPEN] USD_CHF BUY units=2.00 entry=0.82076 mid=0.82089 SL=0.82031 TP=0.82165 kind=live broker_order=true cid=cid-0f551537a56e44f6910b055542efaa77 broker_id=3094 strategy=swing_breakout horizon=swing
bot-1  | [INFO] 2026-09-22 20:33:33.366985: [EXECUTION] BROKER_FILL GBP_USD open fill=1.33435 unitsΓëê1.0000 id=3102 cid=cid-23a837632ec24342b6817c1aaf954b7c
bot-1  | [INFO] 2026-09-22 20:33:33.369775: [OPEN] GBP_USD SELL units=1.00 entry=1.33435 mid=1.33421 SL=1.33493 TP=1.33319 kind=live broker_order=true cid=cid-23a837632ec24342b6817c1aaf954b7c broker_id=3102 strategy=swing_trend horizon=swing
bot-1  | [INFO] 2026-09-22 20:33:33.899902: [EXECUTION] BROKER_FILL AUD_USD open fill=0.71179 unitsΓëê3.0000 id=3106 cid=cid-a92d8f4a9adc400f90a9220b18889402
bot-1  | [INFO] 2026-09-22 20:33:33.901488: [OPEN] AUD_USD BUY units=3.00 entry=0.71179 mid=0.71147 SL=0.71144 TP=0.71249 kind=live broker_order=true cid=cid-a92d8f4a9adc400f90a9220b18889402 broker_id=3106 strategy=swing_breakout horizon=swing
bot-1  | [INFO] 2026-09-22 20:35:36.226442: [EXECUTION] BROKER_FILL USD_CAD open fill=1.40638 unitsΓëê2.0000 id=3110 cid=cid-c905f53f1365489aa9c3f9e6fd56ff5c
bot-1  | [INFO] 2026-09-22 20:35:36.228183: [OPEN] USD_CAD BUY units=2.00 entry=1.40638 mid=1.40631 SL=1.40581 TP=1.40753 kind=live broker_order=true cid=cid-c905f53f1365489aa9c3f9e6fd56ff5c broker_id=3110 strategy=swing_mean_reversion horizon=swing
bot-1  | [INFO] 2026-09-22 20:37:37.888787: [EXECUTION] BROKER_FILL EUR_USD open fill=1.14530 unitsΓëê2.0000 id=3118 cid=cid-4c58ef93ad7343e0b256e7fe8b5b0c6c
bot-1  | [INFO] 2026-09-22 20:37:37.891690: [OPEN] EUR_USD SELL units=2.00 entry=1.14530 mid=1.14515 SL=1.14574 TP=1.14442 kind=live broker_order=true cid=cid-4c58ef93ad7343e0b256e7fe8b5b0c6c broker_id=3118 strategy=swing_mean_reversion horizon=swing
bot-1  | [INFO] 2026-09-22 21:52:51.597493: [EXECUTION] BROKER_FILL USD_JPY open fill=157.37400 unitsΓëê2.0000 id=3124 cid=cid-f0018527cf024210bf211e9df62dd1ea
bot-1  | [INFO] 2026-09-22 21:52:51.598907: [OPEN] USD_JPY SELL units=2.00 entry=157.37400 mid=157.40000 SL=157.43060 TP=157.26080 kind=live broker_order=true cid=cid-f0018527cf024210bf211e9df62dd1ea broker_id=3124 strategy=trend horizon=legacy
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] USD_JPY open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] AUD_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] USD_JPY open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] AUD_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] USD_CHF open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] USD_CHF open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] USD_CAD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] USD_CAD open: OANDA response missing orderFillTransaction
