time,symbol,split,stub_side,usd_dir,stub_strength,p_up,orig_60,inv_60,up_60,down_60
2025-09-01 07:30:00+00:00,USD_CHF,train,BUY,LONG_USD,0.1310195227759989,0.41497202761857604,-6.300000000000194,3.1000000000003247,False,True
2025-09-01 07:45:00+00:00,GBP_USD,train,SELL,LONG_USD,0.09959999999997297,0.41430974116530145,-11.300000000000754,7.399999999999629,True,False
2025-09-01 08:10:00+00:00,AUD_USD,train,BUY,SHORT_USD,0.06327683615833592,0.4228404826050802,6.200000000000649,-8.700000000000374,True,False
2025-09-01 08:20:00+00:00,USD_CHF,train,SELL,SHORT_USD,0.02234636871531295,0.42007162528219766,1.2999999999996348,-4.00000000000067,False,True
2025-09-01 08:25:00+00:00,GBP_USD,train,BUY,SHORT_USD,0.3784860557766911,0.4210973443551979,2.0999999999982144,-5.700000000001815,True,False
2025-09-01 08:45:00+00:00,USD_JPY,train,SELL,SHORT_USD,0.1629860031104377,0.42421580915885054,-1.6999999999995907,-1.300000000000523,False,False
2025-09-01 10:00:00+00:00,EUR_USD,train,SELL,LONG_USD,0.06685236768808947,0.40902314838721715,-6.199999999998429,3.0999999999981043,True,False
2025-09-01 10:15:00+00:00,USD_CHF,train,BUY,LONG_USD,0.030460921843671006,0.4157875132491168,-2.5999999999992696,-0.0999999999995449,False,False
2025-09-01 10:20:00+00:00,USD_JPY,train,BUY,LONG_USD,0.6627802690584216,0.4175249622603147,4.300000000000637,-7.399999999998386,True,False
2025-09-01 10:45:00+00:00,USD_CAD,train,SELL,SHORT_USD,3.897005988024185,0.3980613403773889,-4.899999999998794,1.1999999999989797,True,False
2025-09-01 11:00:00+00:00,GBP_USD,train,SELL,LONG_USD,0.1561128526638496,0.4061801708149215,1.100000000000545,-4.900000000001015,False,True
2025-09-01 11:00:00+00:00,USD_CHF,train,SELL,SHORT_USD,0.02364066193868816,0.40796017237498483,-15.500000000000513,12.699999999999934,True,False
2025-09-01 11:05:00+00:00,EUR_USD,train,BUY,SHORT_USD,0.05306799336655408,0.41467442959246337,-14.400000000001079,11.299999999998533,False,True
2025-09-01 11:30:00+00:00,USD_CHF,train,BUY,LONG_USD,0.1393364928913114,0.41080411277307805,11.400000000000299,-14.299999999999313,True,False
2025-09-01 11:35:00+00:00,GBP_USD,train,BUY,SHORT_USD,0.02780410742505968,0.4108099102257413,-1.9999999999997797,-1.7000000000000348,False,False
2025-09-01 11:55:00+00:00,EUR_USD,train,SELL,LONG_USD,0.38400000000066553,0.40533940444209077,5.399999999999849,-8.499999999997954,False,True
2025-09-01 11:55:00+00:00,GBP_USD,train,SELL,LONG_USD,0.262437395657724,0.4029438116514788,-10.899999999998133,7.399999999999629,True,False
2025-09-01 12:00:00+00:00,AUD_USD,train,SELL,LONG_USD,0.1446327683607144,0.40383855091284454,-1.4999999999998348,-1.2000000000000899,False,False
2025-09-01 12:05:00+00:00,USD_CAD,train,BUY,LONG_USD,0.5124668435013916,0.4012541454390192,0.8999999999992347,-4.8000000000003595,True,False
2025-09-01 13:05:00+00:00,GBP_USD,train,BUY,SHORT_USD,0.3693251533746571,0.40979331176573225,2.9999999999996696,-6.999999999999229,True,False
2025-09-01 14:20:00+00:00,AUD_USD,train,BUY,SHORT_USD,0.08337468982649217,0.40608030852352167,-3.6999999999998145,0.900000000000345,False,True
2025-09-01 16:00:00+00:00,AUD_USD,train,SELL,LONG_USD,0.07340425531949271,0.39395928461168384,-3.20000000000098,0.49999999999994493,True,False
2025-09-01 16:15:00+00:00,USD_JPY,train,SELL,SHORT_USD,0.25725490196102363,0.3923944819024122,-0.20000000000095497,-3.299999999998704,False,False
2025-09-01 17:55:00+00:00,GBP_USD,train,SELL,LONG_USD,0.7074829931963829,0.37408377831520745,-3.1000000000003247,-0.700000000000145,False,False
2025-09-01 19:00:00+00:00,USD_CHF,train,SELL,SHORT_USD,1.6370370370362965,0.36505148310258,4.100000000000215,-6.899999999999684,False,True
