time,open,high,low,close,volume,complete,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2026-01-30T20:15:00Z,1.36912000,1.36912000,1.36850000,1.36860000,1117,True,1.36901000,1.36903000,1.36839000,1.36851000,1.36922000,1.36922000,1.36861000,1.36868000
2026-01-30T20:20:00Z,1.36860000,1.36910000,1.36860000,1.36882000,960,True,1.36851000,1.36901000,1.36851000,1.36873000,1.36869000,1.36921000,1.36869000,1.36891000
2026-01-30T20:25:00Z,1.36882000,1.36912000,1.36842000,1.36857000,1174,True,1.36872000,1.36903000,1.36832000,1.36848000,1.36891000,1.36922000,1.36853000,1.36866000
2026-01-30T20:30:00Z,1.36856000,1.36895000,1.36842000,1.36892000,1070,True,1.36846000,1.36885000,1.36832000,1.36883000,1.36866000,1.36905000,1.36851000,1.36900000
2026-01-30T20:35:00Z,1.36892000,1.36904000,1.36850000,1.36886000,1415,True,1.36883000,1.36894000,1.36839000,1.36876000,1.36901000,1.36914000,1.36860000,1.36897000
2026-01-30T20:40:00Z,1.36887000,1.36920000,1.36872000,1.36918000,1123,True,1.36877000,1.36910000,1.36863000,1.36907000,1.36897000,1.36930000,1.36882000,1.36928000
2026-01-30T20:45:00Z,1.36914000,1.36938000,1.36883000,1.36902000,1504,True,1.36904000,1.36929000,1.36873000,1.36893000,1.36925000,1.36946000,1.36893000,1.36912000
2026-01-30T20:50:00Z,1.36902000,1.36924000,1.36884000,1.36892000,1174,True,1.36892000,1.36914000,1.36873000,1.36885000,1.36913000,1.36933000,1.36894000,1.36900000
2026-01-30T20:55:00Z,1.36892000,1.36902000,1.36832000,1.36832000,1431,True,1.36884000,1.36895000,1.36822000,1.36823000,1.36901000,1.36911000,1.36842000,1.36842000
2026-01-30T21:00:00Z,1.36834000,1.36840000,1.36807000,1.36828000,1178,True,1.36826000,1.36831000,1.36796000,1.36817000,1.36843000,1.36848000,1.36817000,1.36838000
2026-01-30T21:05:00Z,1.36826000,1.36851000,1.36793000,1.36850000,768,True,1.36816000,1.36842000,1.36783000,1.36840000,1.36835000,1.36861000,1.36803000,1.36860000
2026-01-30T21:10:00Z,1.36850000,1.36864000,1.36840000,1.36857000,689,True,1.36839000,1.36854000,1.36829000,1.36845000,1.36860000,1.36874000,1.36851000,1.36869000
2026-01-30T21:15:00Z,1.36858000,1.36880000,1.36857000,1.36876000,1364,True,1.36846000,1.36869000,1.36845000,1.36865000,1.36869000,1.36892000,1.36868000,1.36886000
2026-01-30T21:20:00Z,1.36876000,1.36884000,1.36836000,1.36842000,994,True,1.36866000,1.36875000,1.36824000,1.36833000,1.36885000,1.36894000,1.36846000,1.36852000
2026-01-30T21:25:00Z,1.36842000,1.36846000,1.36798000,1.36817000,1008,True,1.36832000,1.36837000,1.36787000,1.36808000,1.36852000,1.36855000,1.36808000,1.36826000
2026-01-30T21:30:00Z,1.36816000,1.36834000,1.36808000,1.36832000,701,True,1.36806000,1.36823000,1.36799000,1.36820000,1.36826000,1.36844000,1.36818000,1.36844000
2026-01-30T21:35:00Z,1.36832000,1.36835000,1.36802000,1.36830000,1415,True,1.36821000,1.36825000,1.36792000,1.36819000,1.36843000,1.36845000,1.36812000,1.36841000
2026-01-30T21:40:00Z,1.36831000,1.36912000,1.36828000,1.36873000,1089,True,1.36819000,1.36901000,1.36817000,1.36860000,1.36843000,1.36922000,1.36839000,1.36886000
